,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
660,John Quenneville\quennjo02,20,C,NJD,7,1,2,3,1,2,0,1,0,0,2,0,0,13,7.7,94,13:23,5,9,0,0,
661,Carter Rowney\rowneca01,27,RW,PIT,19,1,2,3,3,2,1,0,0,1,2,0,0,13,7.7,189,9:58,10,37,58,50,53.7
662,Marcus Sorensen\sorenma01,24,RW,SJS,13,1,2,3,-1,2,1,0,0,1,2,0,0,17,5.9,137,10:31,5,11,0,0,
663,Clayton Stoner\stonecl01,31,D,ANA,14,1,2,3,0,28,1,0,0,0,2,0,0,16,6.3,246,17:33,17,35,0,0,
664,Harry Zolnierczyk\zolniha01,29,LW,NSH,22,1,2,3,-2,10,1,0,0,0,2,0,0,16,6.3,187,8:30,10,24,2,3,40.0
665,Noel Acciari\acciano01,25,C,BOS,22,0,3,3,1,4,0,0,0,0,3,0,0,19,0.0,213,9:40,3,52,11,16,40.7
666,Alex Biega\biegaal01,28,D,VAN,30,0,3,3,-3,18,0,0,0,0,3,0,0,28,0.0,406,13:33,21,79,0,0,
667,Jared Boll\bollja01,30,RW,ANA,48,0,3,3,-3,82,0,0,0,0,3,0,0,13,0.0,283,5:54,13,65,0,1,0.0
668,Brett Kulak\kulakbr01,23,D,CGY,21,0,3,3,-3,12,0,0,0,0,3,0,0,19,0.0,299,14:15,13,14,0,0,
669,Patrik Nemeth\nemetpa01,24,D,DAL,36,0,3,3,-3,12,0,0,0,0,3,0,0,36,0.0,560,15:34,42,39,0,0,
670,Gustav Olofsson\olofsgu01,22,D,MIN,13,0,3,3,-1,2,0,0,0,0,2,1,0,7,0.0,175,13:29,16,10,0,0,
671,Karl Stollery\stollka01,29,D,NJD,11,0,3,3,-5,13,0,0,0,0,0,3,0,11,0.0,186,16:55,16,26,0,0,
672,Paul Thompson\thomppa02,28,RW,FLA,21,0,3,3,-4,22,0,0,0,0,3,0,0,19,0.0,166,7:54,16,48,0,1,0.0
673,Joel Vermin\vermijo01,24,RW,TBL,14,0,3,3,2,4,0,0,0,0,3,0,0,9,0.0,155,11:06,7,15,2,0,100.0
674,Luke Witkowski\witkolu01,26,D,TBL,26,0,3,3,-3,28,0,0,0,0,3,0,0,18,0.0,251,9:39,12,55,0,0,
675,Josh Archibald\archijo01,24,RW,PIT,5,2,0,2,1,0,1,0,1,0,0,0,0,5,40.0,45,9:02,0,12,0,1,0.0
676,J.T. Compher\comphj.01,21,LW,COL,12,2,0,2,-1,2,2,0,0,1,0,0,0,11,18.2,161,13:23,11,9,50,49,50.5
677,Teemu Pulkkinen\pulkkte01,25,LW,TOT,13,2,0,2,-2,6,2,0,0,0,0,0,0,10,20.0,124,9:30,3,4,0,1,0.0
678,Pontus Aberg\abergpo01,23,LW,NSH,15,1,1,2,-2,4,1,0,0,0,1,0,0,12,8.3,185,12:20,2,9,1,0,100.0
679,Anton Blidh\blidhan01,21,LW,BOS,19,1,1,2,-2,7,1,0,0,0,1,0,0,26,3.8,167,8:47,4,41,0,0,
680,Mark Borowiecki\borowma01,27,D,OTT,61,1,1,2,-1,136,1,0,0,0,1,0,0,39,2.6,836,13:42,78,322,1,0,100.0
681,Michael Bournival\bournmi01,24,LW,TBL,17,1,1,2,-4,2,1,0,0,0,1,0,0,21,4.8,171,10:03,8,25,1,2,33.3
682,Cory Conacher\conacco01,27,LW,TBL,8,1,1,2,-2,4,0,1,0,0,1,0,0,11,9.1,94,11:43,0,0,1,1,50.0
683,Tanner Glass\glassta01,33,LW,NYR,7,1,1,2,0,10,1,0,0,0,1,0,0,6,16.7,69,9:49,2,19,1,0,100.0
684,Yanni Gourde\gourdya01,25,C,TBL,12,1,1,2,-3,4,0,0,1,0,1,0,0,15,6.7,176,14:38,3,7,31,41,43.1
685,Matt Greene\greenma01,33,D,LAK,26,1,1,2,3,19,1,0,0,0,1,0,0,14,7.1,343,13:11,27,71,0,0,
686,Markus Hannikainen\hannima01,23,LW,CBJ,10,1,1,2,0,6,1,0,0,0,1,0,0,8,12.5,91,9:08,5,16,0,0,
687,Steven Kampfer\kampfst01,28,D,TOT,9,1,1,2,-2,6,1,0,0,0,1,0,0,6,16.7,115,12:46,10,20,0,0,
688,Dmitry Kulikov\kulikdm01,26,D,BUF,39,1,1,2,-17,24,1,0,0,0,1,0,0,33,3.0,839,21:31,60,52,0,0,
689,Taylor Leier\leierta01,22,LW,PHI,10,1,1,2,-1,4,1,0,0,0,1,0,0,7,14.3,91,9:04,0,7,0,1,0.0
690,Milan Michalek\michami01,32,LW,TOR,5,1,1,2,-2,2,1,0,0,0,1,0,0,6,16.7,71,14:16,9,7,0,1,0.0
691,Mirco Mueller\muellmi01,21,D,SJS,4,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,38,9:36,3,2,0,0,
692,Matthew Peca\pecama01,23,C,TBL,10,1,1,2,-3,2,1,0,0,0,1,0,0,9,11.1,114,11:27,2,9,32,40,44.4
693,Michal Rozsival\rozsimi01,38,D,CHI,20,1,1,2,-3,10,1,0,0,1,1,0,0,15,6.7,307,15:20,23,45,0,0,
694,Mark Stuart\stuarma01,32,D,WPG,35,1,1,2,1,25,1,0,0,0,1,0,0,15,6.7,425,12:09,67,59,0,0,
695,Jordin Tootoo\tootojo01,33,RW,CHI,45,1,1,2,-4,26,1,0,0,0,1,0,0,40,2.5,298,6:37,6,44,1,0,100.0
696,Andy Andreoff\andrean01,25,LW,LAK,32,0,2,2,-1,32,0,0,0,0,2,0,0,34,0.0,344,10:44,7,64,38,25,60.3
697,Peter Cehlarik\cehlape01,21,LW,BOS,11,0,2,2,0,0,0,0,0,0,1,1,0,8,0.0,153,13:55,4,7,2,1,66.7
698,Brandon Davidson\davidbr01,25,D,TOT,32,0,2,2,0,18,0,0,0,0,2,0,0,34,0.0,493,15:25,53,35,0,0,
699,Nicolas Deslauriers\deslani01,25,LW,BUF,38,0,2,2,-6,38,0,0,0,0,2,0,0,19,0.0,264,6:56,5,99,0,3,0.0
700,Justin Dowling\dowliju01,26,C,DAL,5,0,2,2,0,2,0,0,0,0,1,1,0,9,0.0,56,11:11,0,1,20,21,48.8
701,Mark Fayne\faynema01,29,D,EDM,4,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,32,7:55,2,1,0,0,
702,Marek Hrivik\hrivima01,25,LW,NYR,16,0,2,2,-3,2,0,0,0,0,1,1,0,15,0.0,167,10:25,5,19,32,48,40.0
703,Charles Hudon\hudonch01,22,LW,MTL,3,0,2,2,1,2,0,0,0,0,2,0,0,3,0.0,36,11:56,0,11,0,0,
704,Curtis Lazar\lazarcu01,21,RW,TOT,35,0,2,2,-10,4,0,0,0,0,2,0,0,24,0.0,309,8:50,16,61,28,47,37.3
705,Ryan Murphy\murphry01,23,D,CAR,25,0,2,2,-11,8,0,0,0,0,2,0,0,16,0.0,330,13:13,30,2,0,0,
706,Teddy Purcell\purcete01,31,LW,LAK,12,0,2,2,0,0,0,0,0,0,2,0,0,10,0.0,155,12:54,2,7,3,0,100.0
707,Ty Rattie\rattity01,23,RW,TOT,9,0,2,2,-2,0,0,0,0,0,2,0,0,10,0.0,97,10:44,4,10,0,0,
708,Tom Sestito\sestito01,29,LW,PIT,11,0,2,2,2,46,0,0,0,0,2,0,0,2,0.0,54,4:57,2,16,0,0,
709,Brian Strait\straibr01,29,D,WPG,4,0,2,2,0,0,0,0,0,0,2,0,0,2,0.0,62,15:35,7,3,0,0,
710,Bryan Bickell\bickebr01,30,LW,CAR,7,1,0,1,-1,4,0,1,0,1,0,0,0,6,16.7,68,9:42,1,10,0,2,0.0
711,Adam Erne\ernead01,21,LW,TBL,18,1,0,1,-5,11,1,0,0,0,0,0,0,29,3.4,216,12:02,6,53,0,2,0.0
712,Nikolay Goldobin\goldoni01,21,RW/LW,TOT,6,1,0,1,1,0,1,0,0,1,0,0,0,10,10.0,61,10:09,2,1,0,0,
713,Boyd Gordon\gordobo01,33,C,PHI,13,1,0,1,-5,2,1,0,0,0,0,0,0,8,12.5,106,8:11,7,4,48,38,55.8
714,Freddie Hamilton\hamilfr01,25,C,CGY,24,1,0,1,-3,8,1,0,0,1,0,0,0,26,3.8,227,9:26,1,42,72,50,59.0
715,Seth Helgeson\helgese01,26,D,NJD,9,1,0,1,2,15,1,0,0,0,0,0,0,3,33.3,121,13:28,11,16,0,0,
716,Samuel Henley\henlesa01,23,C,COL,1,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,5,5:18,0,2,0,1,0.0
717,Jujhar Khaira\khairju01,22,LW,EDM,9,1,0,1,1,2,1,0,0,1,0,0,0,9,11.1,82,9:09,4,16,6,12,33.3
718,Dylan McIlrath\mcilrdy01,24,D,TOT,6,1,0,1,-2,14,1,0,0,0,0,0,0,3,33.3,57,9:31,4,15,0,0,
719,Wade Megan\meganwa01,26,C,STL,3,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,26,8:48,0,2,13,14,48.1
720,Mike Reilly\reillmi01,23,D,MIN,17,1,0,1,1,2,1,0,0,0,0,0,0,19,5.3,210,12:23,8,2,0,0,
721,Nikita Scherbak\scherni01,21,RW,MTL,3,1,0,1,1,0,0,1,0,0,0,0,0,3,33.3,34,11:23,1,0,0,0,
722,Valentin Zykov\zykovva01,21,LW,CAR,2,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,13,6:15,0,0,0,0,
723,Matt Bartkowski\bartkma01,28,D,CGY,16,0,1,1,1,9,0,0,0,0,1,0,0,9,0.0,240,15:02,9,26,0,0,
724,Christoph Bertschy\bertsch02,22,C,MIN,5,0,1,1,0,4,0,0,0,0,1,0,0,5,0.0,41,8:08,3,7,0,0,
725,Matt Carle\carlema01,32,D,NSH,6,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,79,13:09,5,3,0,0,
726,Blake Coleman\colembl01,25,C,NJD,15,0,1,1,-5,13,0,0,0,0,1,0,0,20,0.0,188,12:32,10,34,56,71,44.1
727,Kevin Connauton\connake01,26,D,ARI,20,0,1,1,-3,8,0,0,0,0,1,0,0,18,0.0,246,12:19,15,40,0,0,
728,Andrew Desjardins\desjaan01,30,LW,CHI,42,0,1,1,-5,15,0,0,0,0,1,0,0,40,0.0,383,9:07,14,65,26,22,54.2
729,Hudson Fasching\faschhu01,21,RW,BUF,10,0,1,1,-1,2,0,0,0,0,1,0,0,6,0.0,104,10:25,2,17,0,0,
730,Kurtis Gabriel\gabriku01,23,RW,MIN,13,0,1,1,0,29,0,0,0,0,1,0,0,3,0.0,76,5:49,1,26,0,0,
731,Tyler Gaudet\gaudety01,23,C,ARI,4,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,52,12:59,1,3,14,21,40.0
732,Frederick Gaudreau\gaudrfr01,23,C,NSH,9,0,1,1,1,0,0,0,0,0,1,0,0,8,0.0,78,8:40,5,1,4,8,33.3
733,Eric Gelinas\geliner01,25,D,COL,27,0,1,1,-4,12,0,0,0,0,1,0,0,29,0.0,313,11:35,16,32,0,1,0.0
734,A.J. Greer\greeraj01,20,LW,COL,5,0,1,1,-2,4,0,0,0,0,1,0,0,8,0.0,68,13:39,3,4,0,0,
735,Joseph Morrow\morrojo02,24,D,BOS,17,0,1,1,-4,8,0,0,0,0,1,0,0,19,0.0,264,15:32,19,29,0,0,
736,Cal O'Reilly\oreilca01,30,C,BUF,11,0,1,1,-6,0,0,0,0,0,1,0,0,3,0.0,87,7:56,3,2,32,34,48.5
737,Steven Oleksy\oleksst01,30,D,PIT,11,0,1,1,2,24,0,0,0,0,1,0,0,11,0.0,151,13:42,19,20,0,0,
738,Anton Rodin\rodinan01,26,RW,VAN,3,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,27,8:55,1,0,0,0,
739,Cole Schneider\schneco02,26,LW,BUF,4,0,1,1,2,0,0,0,0,0,1,0,0,6,0.0,29,7:09,2,3,0,0,
740,Hunter Shinkaruk\shinkhu01,22,LW,CGY,7,0,1,1,-3,2,0,0,0,0,1,0,0,5,0.0,74,10:35,3,3,0,0,
741,Drew Shore\shoredr01,26,C,VAN,5,0,1,1,-2,4,0,0,0,0,1,0,0,4,0.0,54,10:53,1,8,8,5,61.5
742,Nick Sorensen\sorenni01,22,RW,ANA,5,0,1,1,-1,2,0,0,0,0,1,0,0,7,0.0,54,10:53,3,2,1,0,100.0
743,Dylan Strome\stromdy01,19,C,ARI,7,0,1,1,-5,0,0,0,0,0,1,0,0,6,0.0,96,13:41,2,3,31,46,40.3
744,Jake Virtanen\virtaja01,20,RW,VAN,10,0,1,1,1,2,0,0,0,0,1,0,0,13,0.0,101,10:09,4,17,3,0,100.0
745,Lucas Wallmark\wallmlu01,21,C,CAR,3,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,37,12:28,1,5,16,8,66.7
746,Spencer Abbott\abbotsp01,28,LW,CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,8:34,0,0,0,0,
747,Brady Austin\austibr01,23,D,BUF,2,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,35,17:19,0,2,0,0,
748,Casey Bailey\baileca01,25,RW,OTT,7,0,0,0,-1,0,0,0,0,0,0,0,0,10,0.0,56,7:00,4,4,0,1,0.0
749,Riley Barber\barberi01,22,RW,WSH,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,8:35,0,1,0,0,
750,Mathew Barzal\barzama01,19,C,NYI,2,0,0,0,-2,6,0,0,0,0,0,0,0,0,,20,9:45,0,1,6,7,46.2
751,Cody Bass\bassco01,30,C,NSH,9,0,0,0,-1,19,0,0,0,0,0,0,0,1,0.0,61,6:46,4,14,0,2,0.0
752,Taylor Beck\beckta01,25,LW,EDM,3,0,0,0,-1,4,0,0,0,0,0,0,0,0,,18,5:53,0,3,0,0,
753,Tyler Bertuzzi\bertuty01,21,LW,DET,7,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,64,9:06,0,12,1,1,50.0
754,Mike Blunden\blundmi01,30,RW,OTT,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,16,8:07,0,6,0,0,
755,Gabriel Bourque\bourqga01,26,LW,COL,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,67,11:12,6,17,0,1,0.0
756,Patrick Brown\brownpa02,24,C,CAR,13,0,0,0,-6,0,0,0,0,0,0,0,0,12,0.0,128,9:51,5,28,8,4,66.7
757,Erik Burgdoerfer\burgder01,28,D,BUF,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,11:10,0,5,0,0,
758,Mitch Callahan\callami01,25,RW,DET,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,6:49,2,3,0,0,
759,Patrick Cannone\cannopa01,30,C,MIN,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,7:53,1,2,11,10,52.4
760,Paul Carey\careypa01,28,C,WSH,4,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,37,9:22,1,4,0,0,
761,Alexandre Carrier\carrial01,20,D,NSH,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,10:24,1,0,0,0,
762,Thomas Chabot\chaboth01,20,D,OTT,1,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,7,7:09,0,1,0,0,
763,Erik Condra\condrer01,30,RW,TBL,13,0,0,0,-4,4,0,0,0,0,0,0,0,8,0.0,125,9:38,7,5,1,0,100.0
764,Frank Corrado\corrafr01,23,D,TOT,4,0,0,0,-1,8,0,0,0,0,0,0,0,3,0.0,43,10:46,2,4,0,0,
765,Jacob de La Rose\delarja01,21,LW,MTL,9,0,0,0,-3,4,0,0,0,0,0,0,0,4,0.0,98,10:54,5,23,17,17,50.0
766,Simon Despres\desprsi01,25,D,ANA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,16:08,1,1,0,0,
767,Jason Dickinson\dickija01,21,C,DAL,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,9:02,1,1,4,9,30.8
768,Chris Didomenico\didomch01,27,RW,OTT,2,0,0,0,1,6,0,0,0,0,0,0,0,0,,16,8:05,1,1,0,0,
769,Andreas Englund\engluan01,21,D,OTT,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,40,9:57,0,16,0,0,
770,Emerson Etem\etemem01,24,LW,ANA,3,0,0,0,1,2,0,0,0,0,0,0,0,0,,26,8:48,0,4,0,1,0.0
771,Bobby Farnham\farnhbo01,28,RW,MTL,3,0,0,0,0,17,0,0,0,0,0,0,0,4,0.0,25,8:16,2,8,1,0,100.0
772,Martin Frk\frkma01,23,RW,CAR,2,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,17,8:20,1,3,0,0,
773,Byron Froese\froesby01,25,C,TOT,6,0,0,0,-3,5,0,0,0,0,0,0,0,6,0.0,63,10:33,4,3,26,30,46.4
774,Luke Gazdic\gazdilu01,27,LW,NJD,10,0,0,0,-2,12,0,0,0,0,0,0,0,3,0.0,70,7:01,5,14,0,0,
775,Barclay Goodrow\goodrba01,23,RW,SJS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,10:57,1,3,0,0,
776,Petter Granberg\granbpe01,24,D,NSH,10,0,0,0,0,10,0,0,0,0,0,0,0,4,0.0,96,9:38,9,17,0,0,
777,Alexandre Grenier\grenial01,25,RW,VAN,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,6:29,0,3,2,0,100.0
778,Rocco Grimaldi\grimaro01,23,C,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,8,8:09,2,1,0,0,
779,Nicklas Grossmann\grossni01,32,D,CGY,3,0,0,0,-4,2,0,0,0,0,0,0,0,3,0.0,39,13:01,1,7,0,0,
780,Matthew Grzelcyk\grzelma01,23,D,BOS,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,25,12:29,1,0,0,0,
781,Brendan Guhle\guhlebr01,19,D,BUF,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,49,16:21,8,3,0,0,
782,Joel Hanley\hanlejo01,25,D,MTL,7,0,0,0,-3,4,0,0,0,0,0,0,0,5,0.0,71,10:09,4,8,0,0,
783,Ben Harpur\harpube01,22,D,OTT,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,10:35,2,1,0,0,
784,Tim Heed\heedti01,26,D,SJS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,16:29,2,0,0,0,
785,Danton Heinen\heineda01,21,C,BOS,8,0,0,0,-3,2,0,0,0,0,0,0,0,7,0.0,106,13:14,2,6,0,0,
786,Quinton Howden\howdequ01,25,C,WPG,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,43,8:39,0,4,0,2,0.0
787,Mark Jankowski\jankoma01,22,C,CGY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,10:18,0,1,5,3,62.5
788,Nicklas Jensen\jenseni01,23,RW,NYR,7,0,0,0,-2,0,0,0,0,0,0,0,0,8,0.0,65,9:13,2,7,0,0,
789,Ryan Johnston\johnsry02,24,D,MTL,7,0,0,0,-3,4,0,0,0,0,0,0,0,3,0.0,69,9:52,2,1,0,0,
790,Tomas Jurco\jurcoto01,24,LW/RW,TOT,25,0,0,0,-10,4,0,0,0,0,0,0,0,27,0.0,262,10:30,6,20,0,1,0.0
791,Vladislav Kamenev\kamenvl01,20,LW,NSH,2,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,20,10:04,1,1,6,7,46.2
792,Bracken Kearns\kearnbr01,35,C,NYI,2,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,22,11:12,2,5,10,7,58.8
793,Nicolas Kerdiles\kerdini01,23,LW,ANA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,11,11:08,2,0,1,0,100.0
794,Kalle Kossila\kossika01,23,LW,ANA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,6:54,0,1,3,4,42.9
795,Sean Kuraly\kuralse01,24,C,BOS,5,0,0,0,-1,2,0,0,0,0,0,0,0,7,0.0,41,8:11,1,3,1,2,33.3
796,Joseph Labate\labatjo01,23,C,VAN,10,0,0,0,-3,17,0,0,0,0,0,0,0,4,0.0,69,6:53,1,13,1,0,100.0
797,Jacob Larsson\larssja01,19,D,ANA,4,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,66,16:26,1,1,0,0,
798,Brian Lashoff\lashobr01,26,D,DET,5,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,63,12:31,4,8,0,0,
799,Scott Laughton\laughsc01,22,C,PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,20,10:15,0,3,11,9,55.0
800,Mike Liambas\liambmi01,27,LW,NSH,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,5,4:42,0,1,0,0,
801,Petteri Lindbohm\lindbpe02,23,D,STL,5,0,0,0,-3,4,0,0,0,0,0,0,0,9,0.0,63,12:41,3,9,0,0,
802,Anton Lindholm\lindhan01,22,D,COL,5,0,0,0,-4,0,0,0,0,0,0,0,0,1,0.0,76,15:09,4,14,0,0,
803,Jamie McBain\mcbaija02,28,D,ARI,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,50,16:40,4,0,0,0,
804,Max McCormick\mccorma01,24,RW,OTT,7,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,47,6:46,1,13,15,9,62.5
805,Evan McEneny\mceneev01,22,D,VAN,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,15:08,0,0,0,0,
806,Julian Melchiori\melchju01,25,D,WPG,11,0,0,0,-3,6,0,0,0,0,0,0,0,9,0.0,194,17:37,21,17,0,0,
807,Zbynek Michalek\michazb01,34,D,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,15:55,3,3,0,0,
808,Sonny Milano\milanso01,20,LW,CBJ,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,11:59,1,1,0,0,
809,Zack Mitchell\mitchza01,24,RW,MIN,11,0,0,0,-1,0,0,0,0,0,0,0,0,10,0.0,93,8:26,3,14,11,8,57.9
810,Jakub Nakladal\naklaja01,29,D,CAR,3,0,0,0,-4,0,0,0,0,0,0,0,0,3,0.0,44,14:30,4,2,0,0,
811,Casey Nelson\nelsoca01,24,D,BUF,11,0,0,0,-3,4,0,0,0,0,0,0,0,10,0.0,139,12:36,5,15,0,0,
812,Aaron Ness\nessaa01,26,D,WSH,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,12:50,2,2,0,0,
813,Cristoval Nieves\nievecr01,23,C,NYR,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,11:44,1,0,3,7,30.0
814,Nelson Nogier\nogiene01,20,D,WPG,3,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,38,12:30,1,7,0,0,
815,Tomas Nosek\nosekto01,24,LW,DET,3,0,0,0,1,2,0,0,0,0,0,0,0,10,0.0,30,10:08,0,5,11,6,64.7
816,Liam O'Brien\obrieli01,22,LW,WSH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6:08,0,1,0,0,
817,Rob O'Gara\ogararo01,23,D,BOS,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,48,16:01,7,3,0,0,
818,Daniel O'Regan\oregada01,23,C,SJS,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,10:23,1,0,8,10,44.4
819,Jordan Oesterle\oestejo01,24,D,EDM,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,35,17:17,3,2,0,0,
820,Adam Pardy\pardyad01,32,D,NSH,4,0,0,0,-1,6,0,0,0,0,0,0,0,4,0.0,44,10:00,3,3,0,0,
821,Blake Pietila\pietibl01,23,LW,NJD,7,0,0,0,-6,4,0,0,0,0,0,0,0,5,0.0,87,12:29,3,13,22,21,51.2
822,Derrick Pouliot\poulide01,23,D,PIT,10,0,0,0,-4,4,0,0,0,0,0,0,0,10,0.0,144,14:25,8,13,0,0,
823,Ryan Pulock\pulocry01,22,D,NYI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,4,3:57,1,1,0,0,
824,Mason Raymond\raymoma01,31,LW,ANA,4,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,36,8:55,0,3,0,1,0.0
825,Borna Rendulic\rendubo01,24,RW,VAN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,5,4:51,0,0,0,0,
826,Tanner Richard\richata01,23,C,TBL,3,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,38,12:42,2,6,13,17,43.3
827,Buddy Robinson\robinbu01,25,RW,OTT,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,28,6:57,0,9,0,0,
828,Kevin Rooney\rooneke01,23,C,NJD,4,0,0,0,-3,4,0,0,0,0,0,0,0,2,0.0,41,10:11,1,4,10,17,37.0
829,Robbie Russo\russoro01,23,D,DET,10,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,155,15:28,7,10,0,0,
830,Miikka Salomaki\salommi01,23,RW,NSH,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,9:34,5,6,0,0,
831,Jordan Schmaltz\schmajo01,23,D,STL,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,13:38,0,2,0,0,
832,Mikhail Sergachev\sergami01,18,D,MTL,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,31,10:26,2,7,0,0,
833,Dillon Simpson\simpsdi01,,D,EDM,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,33,10:53,2,3,0,0,
834,Trevor Smith\smithtr01,31,C,NSH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,7:20,2,0,0,8,0.0
835,Blake Speers\speerbl01,20,C,NJD,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,28,9:29,1,1,0,2,0.0
836,Chandler Stephenson\stephch02,22,C,WSH,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,8:45,0,0,11,7,61.1
837,Oskar Sundqvist\sundqos01,22,C,PIT,7,0,0,0,0,2,0,0,0,0,0,0,0,7,0.0,59,8:23,1,11,6,14,30.0
838,Nate Thompson\thompna01,32,C,ANA,23,0,0,0,1,9,0,0,0,0,0,0,0,16,0.0,240,10:26,8,56,99,92,51.8
839,Corey Tropp\troppco01,27,RW,ANA,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,9:28,0,2,0,0,
840,Alex Tuch\tuchal01,20,RW,MIN,6,0,0,0,-3,0,0,0,0,0,0,0,0,8,0.0,64,10:42,7,5,0,0,
841,T.J. Tynan\tynant.01,24,RW,CBJ,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,7:29,1,1,0,0,
842,Phil Varone\varonph01,26,C,OTT,7,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,56,7:59,1,3,15,12,55.6
843,Linden Vey\veyli01,25,RW,CGY,4,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,44,11:01,0,1,9,15,37.5
844,David Warsofsky\warsoda01,26,D,PIT,6,0,0,0,-2,6,0,0,0,0,0,0,0,11,0.0,91,15:10,8,3,0,0,
845,Tyler Wotherspoon\wothety01,23,D,CGY,4,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,44,10:54,2,3,0,0,
846,Michael Zalewski\zalewmi01,24,LW,VAN,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,8:03,1,0,0,0,
